абиссинцы - населения Эфиопии {населения}
абонемент - Право пользования {Право}
аборт - прекращение беременности {прекращение}
абрек - период присоединения {период}
абсолютист - Сторонник абсолютизма {Сторонник}
абстракционист - Последователь абстракционизма {Последователь}
абсцесс - воспаление тканей {воспаление}
абцуг - пара карт {пара}
авангардизм - Стремление какой {Стремление}
авангардист - Последователь авангардизма {Последователь}
авантюрист - Искатель приключений {Искатель}
аварийность - Наличие аварий {Наличие}
авиаконструктор - Конструктор самолетов {Конструктор}
авиапочта - Перевозка почты {Перевозка}
авиастроение - Отрасль промышленности {Отрасль}
автодело - Круг знаний {Круг}
автоколонна - Колонна автомашин {Колонна}
автоматика - Отрасль науки {Отрасль}
автомобилестроение - Отрасль промышленности {Отрасль}
автопортрет - Портрет художника {Портрет}
авторство - Принадлежность произведения {Принадлежность}
автосервис - обслуживание автомобилей {обслуживание}
автотехобслуживание - обслуживание автомобилей {обслуживание}
автотипия - способ воспроизведения {способ}
автохтоны - население страны {население}
агент - Представитель организации {Представитель}
агентство - отделение какого {отделение}
агитпоход - Поход агитколлектива {Поход}
агитпроп - отделов агитации {отделов}
агломерат - скопление обломков {скопление}
агностик - Последователь агностицизма {Последователь}
агония - состояние организма {состояние}
агрегат - машин устройств {машин}
агреман - Согласие правительства {Согласие}
агрокультура - Совокупность приемов {Совокупность}
агротехника - Система приемов {Система}
адаптация - Приспособление организмов {Приспособление}
адвокатство - Деятельность адвоката {Деятельность}
адвокатура - Деятельность адвоката {Деятельность}
аджарцы - группа грузин {группа}
администрация - орган лица {орган}
адмиралтейство - Место постройки {Место}
адмиральша - Жена адмирала {Жена}
адреналин - Гормон надпочечников {Гормон}
адсорбция - Поглощение частиц {Поглощение}
аз - буквы «а {буквы}
азбука - Совокупность букв {Совокупность}
азот - элемент питания {элемент}
азям - одежда крестьян {одежда}
аистенок - Птенец аиста {Птенец}
академик - член академии {член}
акванавт - Исследователь моря {Исследователь}
акватория - поверхность чего {поверхность}
акклиматизация - Приспособление человека {Приспособление}
акмеист - Последователь акмеизма {Последователь}
акробат - гимнаст номеров {гимнаст}
аксессуар - Принадлежность чего {Принадлежность}
аксиоматика - Совокупность аксиом {Совокупность}
акт - проявление какой {проявление}
актер - исполнитель ролей {исполнитель}
активист - член какого {член}
актиния - животное класса {животное}
акушерство - Раздел медицины {Раздел}
акцентуация - Система ударения {Система}
алгебра - Раздел математики {Раздел}
алгоритм - Система вычислений {Система}
алиби - Пребывание обвиняемого {Пребывание}
аллах","алла - Наименование бога {Наименование}
аллергия - чувствительность организма {чувствительность}
аллилуйщина - восхваление кого {восхваление}
аллитерация - прием усиления {прием}
аллювий - Наносы отложения {Наносы}
алогизм - Ход мысли {Ход}
альманах - сборник произведений {сборник}
альпинарий - Участок сада {Участок}
альпиниада - поход альпинистов {поход}
альтернатива - Необходимость выбора {Необходимость}
альфа-распад - Испускание альфа-частиц {Испускание}
альфа-частица - Ядро атома {Ядро}
амальгама - Сплав какого {Сплав}
амальгамация - Способ извлечения {Способ}
амброзия - пища богов {пища}
аммоний - Группа атомов {Группа}
аморализм - Отрицание морали {Отрицание}
амортизация - снижение ценности {снижение}
ампер - Единица измерения {Единица}
амплификация - прием усиления {прием}
амплуа - Специализация актера {Специализация}
амуниция - Снаряжение военнослужащего {Снаряжение}
амур - бог любви {бог}
анабиоз - Явление приспособления {Явление}
анаграмма - Перестановка букв {Перестановка}
анархист - Сторонник анархизма {Сторонник}
анархия - Состояние общества {Состояние}
анархо-синдикалист - Сторонник анархо-синдикализма {Сторонник}
ангажемент - Приглашение артистов {Приглашение}
ангстрем - Единица длины {Единица}
аневризма - расширение просвета {расширение}
анестезиология - Раздел медицины {Раздел}
анкер - Деталь часов {Деталь}
аннексионист - Сторонник аннексии {Сторонник}
аннотация - характеристика книги {характеристика}
аноним - Автор сочинения {Автор}
ансамбль - согласованность какого {согласованность}
антимилитарист - Сторонник антимилитаризма {Сторонник}
антимир - объект (типа {объект}
антипатия - Чувство неприязни {Чувство}
антисемит - Последователь антисемитизма {Последователь}
антисоветчина - деятельность высказывания {деятельность}
антихрист - противник Христа {противник}
антрепренерство - Деятельность антрепренера {Деятельность}
антресоли - этаж дома {этаж}
антропометрия - Совокупность приемов {Совокупность}
аорист - времени глагола {времени}
апогей - Точка орбиты {Точка}
апологетика - Раздел богословия {Раздел}
апоселений - Точка орбиты {Точка}
апофеоз - обряд обожествления {обряд}
апоцентр - Точка орбиты {Точка}
аппаратура - Совокупность аппаратов {Совокупность}
