абазины - инец Народ {инец}
абиссинцы - населения Эфиопии {населения}
абордаж - атака корабля {атака}
аборт - прерывание беременности {прерывание}
абракадабра - набор слов {набор}
абрис - Очертание предмета {Очертание}
абхазы","абхазцы - абхаз -зца {абхаз}
авангардизм - Стремление ка {Стремление}
авангардист - Сторонник авангардизма {Сторонник}
аварийность - Наличие аварий {Наличие}
авиация - средства передвижения {средства}
австралийцы - населения Австралии {населения}
австралийцы - населения Австралии {населения}
австрийцы - иец -ийца {иец}
автоблокировка - система связи {система}
автоматика - Отрасль науки {Отрасль}
автоматика - Совокупность механизмов {Совокупность}
автор - Создатель какого {Создатель}
авторство - Принадлежность произведения {Принадлежность}
автосервис - обслуживание автомобилей {обслуживание}
автосервис - Совокупность предприятий {Совокупность}
автотраф - рукопись автора {рукопись}
агентство - отделение ка {отделение}
агностик - Последователь агностицизма {Последователь}
агония - состояние организма {состояние}
аграрий - Политик представляю {Политик}
агрессия - точки зрения {точки}
агрокультура - Совокупность мероприятий {Совокупность}
агрономия - Комплекс наук {Комплекс}
агротехника - Технология возделывания {Технология}
адаптация - Приспособление организма {Приспособление}
адаптация - Упрощение текста {Упрощение}
адвокатура - Коллегия адвокатов {Коллегия}
администрация - Органы управления {Органы}
адмиралтейство - Центр постройки {Центр}
адытейцы - еец -ейца {еец}
адыти - адыг кабардинцев {адыг}
ажур - ведение дел {ведение}
аз - аза м {аза}
азбука - Совокупность букв {Совокупность}
азбука - начала какой {начала}
аистиха - Самка аиста {Самка}
аймак - Бурятии Монголии {Бурятии}
академик - Член академии {Член}
акафист - церков ного {церков}
аккомодация - Приспособление (организма {Приспособление}
акмеист - Последователь акмеизма {Последователь}
акселерация - Ускорение роста {Ускорение}
аксессуар - Принадлежность чего {Принадлежность}
актёрство - Профессия актера {Профессия}
акустика - Раздел физики {Раздел}
акустика - Слышимость звуков {Слышимость}
акушерство - Раздел медицины {Раздел}
акушерство - Оказание помощи {Оказание}
акцент - Подчеркивание какого {Подчеркивание}
акцент - Особенности выговора {Особенности}
акцентология - Раздел языкознания {Раздел}
алгебра - Раздел математики {Раздел}
алгоритм - Совокупность действий {Совокупность}
алеуты - ут островов {ут}
алжирцы - население Алжира {население}
алиби - Нахождение обвиняемого {Нахождение}
аллергия - реактивность организма {реактивность}
аллопатия - система лечения {система}
аллюр - Способ хода {Способ}
алтайцы - аец -айца {аец}
алфавит - Совокупность букв {Совокупность}
алфавит - Порядок букв {Порядок}
альбатрос - птица отряда {птица}
альбом - Собрание рисунков {Собрание}
альманах - сборник произведений {сборник}
альпинарий - Участок сада {Участок}
альпиниада - сборы альпинистов {сборы}
альтернатива - Необходимость выбора {Необходимость}
амальгама - сплав ртути {сплав}
амбиция - обычноПретензии притязания {обычноПретензии}
амброзия - пища богов {пища}
американистика - Совокупность наук {Совокупность}
аммоний - соединение атомов {соединение}
амортизация - снижение ценности {снижение}
амортизация - Смягчение силы {Смягчение}
амплитуда - Размах колебания {Размах}
амплуа - ролей Л {ролей}
анабиоз - снижение жизнедеятельности {снижение}
анализ - Метод исследования {Метод}
анализ - Определение состава {Определение}
анархист - Сторонник анархизма {Сторонник}
анахронизм - Пережиток старины {Пережиток}
ангажемент - Приглашение артиста {Приглашение}
ангел - служитель Бога {служитель}
анкета - Сбор сведений {Сбор}
аннексия - присоединение государства {присоединение}
аннотация - изложение содержания {изложение}
ансамбль - коллектив (певцов {коллектив}
антилопы - парнокопытных жвачных {парнокопытных}
антипатия - Чувство неприязни {Чувство}
антисемит - Сторонник антисемитизма {Сторонник}
антисептика - Обеззараживание ран {Обеззараживание}
антифашист - Враг фашизма {Враг}
антихрист - противник Христа {противник}
антоним - слово напр {слово}
анфилада - ряд комнат {ряд}
апатит - Минерал класса {Минерал}
апелляция - Обжалование решения {Обжалование}
аплодисменты - устар апло {устар}
апогей - Земли проти {Земли}
апостол - ученик Христа {ученик}
апофеоз - сцена нек {сцена}
аппарат - Совокупность органов {Совокупность}
аппарат - Совокупность учреждений {Совокупность}
аппарат - Совокупность сотрудников {Совокупность}
аппаратчик - Работник аппарата {Работник}
аппендицит - Воспаление аппендикса {Воспаление}
аппликация - Изготовление рисунка {Изготовление}
аптека - Набор лекарств {Набор}
арабистика - Совокупность наук {Совокупность}
арба - арбы арб {арбы}
аргумент - величина (функции {величина}
аргументация - Совокупность аргументов {Совокупность}
ареал - Область распространения {Область}
аренда - Наем предприятия {Наем}
арестант - устар Человек {устар}
арийцы - ариец -ийца {ариец}
арийцы - терминологии расизма {терминологии}
аристократия - слой дворянства {слой}
арифметика - Раздел математики {Раздел}
арка - перекрытие проема {перекрытие}
аркада - Ряд арок {Ряд}
армада - соединение кораблей {соединение}
армеец - ейца армии {ейца}
армия - силы государства {силы}
армяне - ян -янин {ян}
арсенал - Склад оружия {Склад}
артель - Объединение крестьян {Объединение}
артель - Объединение лиц {Объединение}
артельщик - Член артели {Член}
артериосклероз - заболеваний артерий {заболеваний}
артерия - Путь сообщения {Путь}
артикль - показатель определенности {показатель}
артикул - изделия товара {изделия}
артикуляция - работа органов {работа}
артиллерист - Военнослужащий артиллерии {Военнослужащий}
артиллетия - орудия (пушки {орудия}
артрит - Воспаление сустава {Воспаление}
архаизм - Пережиток старины {Пережиток}
архангел - ангел ликов {ангел}
архив - Отдел учреждения {Отдел}
архив - Собрание рукописей {Собрание}
архивариус - Сотрудник архива {Сотрудник}
архитектоника - Сочетание частей {Сочетание}
архитектура - Искусство проектирования {Искусство}
архитектура - Стиль постройки {Стиль}
архитектура - собир Здания {собир}
аршин - мера длины {мера}
асбест - минерал класса {минерал}
асептика - Предохранение тканей {Предохранение}
аскетизм - образ жизни {образ}
аспект - Точка зрения {Точка}
ассамблея - собрание какой {собрание}
ассирийцы - иец -ийца {иец}
ассистент - Помощник профессора {Помощник}
ассорти - смесь чего {смесь}
ассоциация - Объединение лиц {Объединение}
ассоциация - Соединение каких {Соединение}
атака - движение войск {движение}
атеизм - Совокупность положений {Совокупность}
атеист - Последователь атеизма {Последователь}
атлас - Сборник таблиц {Сборник}
атмосфера - Единица давления {Единица}
атрофия - Уменьшение ка {Уменьшение}
аудитория - Слушатели лекции {Слушатели}
