...борец - участник спортивных игр {участник} 	 type:NAN
...варение - изготовление путём варки {изготовление} 	 type:NPN
...терапия - лечение (внутренних болезней {лечение} 	 type:NAN
а - буква русского алфавита {буква} 	 type:NAN
абаз - мелкая серебряная монета {монета} 	 type:AAN 
аборт - искусственное прерывание беременности {прерывание} 	 type:ANN 
абразив - вещество большой твёрдости {вещество} 	 type:NAN
абстракция - отвлечение от каких {отвлечение} 	 type:NPN
аварийщик - Работник аварийной службы {Работник} 	 type:NAN
август - месяц календарного года {месяц} 	 type:NAN
авеста - Собрание священных книг {Собрание} 	 type:NAN
авиагоризонт - прибор для определения {прибор} 	 type:NPN
авиадесантник - Военнослужащий воздушно-десантных войск {Военнослужащий} 	 type:NAN
авиалиния - маршрут транспортных самолётов {маршрут} 	 type:NAN
авиамодель - Модель летательного аппарата {Модель} 	 type:NAN
авиапочта - Способ доставки почтовых отправлений {Способ} 	 type:NNAN 
авоська - сумка для продуктов {сумка} 	 type:NPN
аврора - богиня утренней зари {богиня} 	 type:NAN
автобаза - предприятие для организации {предприятие} 	 type:NPN
автобус - автомобиль для перевозки {автомобиль} 	 type:NPN
автогородок - площадка для обучения {площадка} 	 type:NPN
автокар - тележка для перевозки {тележка} 	 type:NPN
автокефалия - церковь православной веры {церковь} 	 type:NAN
автоконсервант - средство для предохранения {средство} 	 type:NPN
автолитография - Литография с рисунка {Литография} 	 type:NPN
автомагазин - магазин по продаже {магазин} 	 type:NPN
автомагнитола - Магнитола для прослушивания {Магнитола} 	 type:NPN
автомаршрут - Маршрут пассажирского автобуса {Маршрут} 	 type:NAN
автомассажёр - Аппарат для самомассажа {Аппарат} 	 type:NPN
автопарк - предприятие по эксплуатации {предприятие} 	 type:NPN
автопогрузчик - машина для погрузки {машина} 	 type:NPN
автоподзавод - Завод наручных часов {Завод} 	 type:NAN
автопоилка - Устройство для поения {Устройство} 	 type:NPN
авторулевой - прибор для удержания {прибор} 	 type:NPN
авторучка - Ручка для письма {Ручка} 	 type:NPN
автотипия - способ воспроизведения полутоновых изображений {способ} 	 type:NNAN 
автотранспортник - Работник автомобильного транспорта {Работник} 	 type:NAN
автотренажёр - Тренажёр для обучения {Тренажёр} 	 type:NPN
автохронометраж - Система автоматического учета {Система} 	 type:NAN
автохтоны - первоначальное население страны {население} 	 type:ANN 
агентство - отделение какого центрального учреждения {отделение} 	 type:NNAN 
агломерат - скопление обломков горных пород {скопление} 	 type:NNAN 
агломерация - Получение крупных кусков {Получение} 	 type:NAN
аграмант - тесьма для украшения {тесьма} 	 type:NPN
агрессины - Продукты жизнедеятельности болезнетворных микробов {Продукты} 	 type:NNAN 
