а - буквы русского алфавита {буквы} 	 type:NAN
а'тлас - Сборник географических карт {Сборник} 	 type:NAN
абаз - мелкая серебряная монета {монета} 	 type:AAN 
абразивы - Вещества большой твердости {Вещества} 	 type:NAN
абсентеизм - уклонение от участия {уклонение} 	 type:NPN
абсолют - вечная неизменная первооснова {первооснова} 	 type:AAN 
абсцесс - гнойное воспаление тканей {воспаление} 	 type:ANN 
авангардизм - Стремление какой общественной группы {Стремление} 	 type:NNAN 
аванпост - передовой сторожевой пост {пост} 	 type:AAN 
август - месяц календарного года {месяц} 	 type:NAN
авиадесантник - Боец воздушно-десантных войск {Боец} 	 type:NAN
авиаконструктор - Конструктор самолетов авиационных двигателей {Конструктор} 	 type:NNAN 
авиалайнер - многоместном пассажирском самолете {самолете} 	 type:AAN 
авиалиния - маршрут транспортных самолетов {маршрут} 	 type:NAN
авиамодель - Модель летательного аппарата {Модель} 	 type:NAN
авиатрасса - Полоса земной поверхности {Полоса} 	 type:NAN
авоська - сумка для продуктов {сумка} 	 type:NPN
автаркия - политика империалистических государств {политика} 	 type:NAN
автобаза - предприятие для организации {предприятие} 	 type:NPN
автоблокировка - Система автоматической сигнализации {Система} 	 type:NAN
автобус - автомобиль для перевозки {автомобиль} 	 type:NPN
автолитография - Литография с рисунка {Литография} 	 type:NPN
автопогрузчик - машина для погрузки {машина} 	 type:NPN
автопоилка - устройство для поения {устройство} 	 type:NPN
автореферат - изложение научной работы {изложение} 	 type:NAN
авторучка - Ручка для письма {Ручка} 	 type:NPN
автотележка - тележка для перевозки {тележка} 	 type:NPN
автотипия - способ воспроизведения полутоновых изображений {способ} 	 type:NNAN 
автотягач - Автомобиль для буксировки {Автомобиль} 	 type:NPN
автохтоны - первоначальное население страны {население} 	 type:ANN 
агентство - отделение какого центрального учреждения {отделение} 	 type:NNAN 
агломерат - скопление обломков горных пород {скопление} 	 type:NNAN 
агломерация - Получение крупных кусков {Получение} 	 type:NAN
аграмант - тесьма для украшения {тесьма} 	 type:NPN
агрегат - разнотипных машин устройств {машин} 	 type:ANN 
агролесомелиорация - Система лесоводческих мероприятий {Система} 	 type:NAN
агроном - Специалист по агрономии {Специалист} 	 type:NPN
аденоиды - разрастание лимфатических образований {разрастание} 	 type:NAN
азям - верхняя одежда крестьян {одежда} 	 type:ANN 
аил - Поселок у алтайцев {Поселок} 	 type:NPN
айран - молоко особой закваски {молоко} 	 type:NAN
академия - высших научных учреждений {учреждений} 	 type:AAN 
аккомодация - Приспособление к чему {Приспособление} 	 type:NPN
аккумулятор - Устройство для накопления {Устройство} 	 type:NPN
акр - Мера земельной площади {Мера} 	 type:NAN
акрихин - лекарственный противомалярийный препарат {препарат} 	 type:AAN 
аксамит - плотного узорного бархата {бархата} 	 type:AAN 
актиния - животное класса коралловых полипов {животное} 	 type:NNAN 
актиния - кишечнополостное животное класса {животное} 	 type:ANN 
акустик - Специалист в области {Специалист} 	 type:NPN
акустика - Наука о звуке {Наука} 	 type:NPN
алкалоид - вещество щелочного характера {вещество} 	 type:NAN
аллегория - Выражение отвлеченного понятия {Выражение} 	 type:NAN
аллергия - повышенная чувствительность организма {чувствительность} 	 type:ANN 
аллитерация - прием усиления звуковой выразительности {прием} 	 type:NNAN 
алоэ - субтропических травянистых растений {растений} 	 type:AAN 
алтарь - Место для жертвоприношений {Место} 	 type:NPN
алтын - русская мелкая монета {монета} 	 type:AAN 
альмавива - плащ особого покроя {плащ} 	 type:NAN
альманах - сборник произведений литературно-художественного {сборник} 	 type:NNA 
альфа - буквы греческого алфавита {буквы} 	 type:NAN
амальгамация - Способ извлечения чистого металла {Способ} 	 type:NNAN 
амбар - строение для хранения {строение} 	 type:NPN
амброзия - ароматная пища богов {пища} 	 type:ANN 
амвон - площадка в церкви {площадка} 	 type:NPN
амнистия - освобождение от наказания {освобождение} 	 type:NPN
амортизация - снижение ценности основных фондов {снижение} 	 type:NNAN 
амперметр - Прибор для измерения {Прибор} 	 type:NPN
ампула - сосуд для хранения {сосуд} 	 type:NPN
анализ - Метод научного исследования {Метод} 	 type:NAN
анализатор - приборов при помощи {приборов} 	 type:NPN
аналогия - Сходство в каком {Сходство} 	 type:NPN
ананас - растение овальной формы {растение} 	 type:NAN
анатом - Специалист по анатомии {Специалист} 	 type:NPN
анафема - Отлучение от церкви {Отлучение} 	 type:NPN
анахронизм - Нарушение хронологической точности {Нарушение} 	 type:NAN
ангина - Воспаление слизистой оболочки {Воспаление} 	 type:NAN
ангиография - Метод рентгенологического исследования {Метод} 	 type:NAN
анемометр - Прибор для измерения {Прибор} 	 type:NPN
анкета - лист для получения {лист} 	 type:NPN
анкетирование - Способ социального исследования {Способ} 	 type:NAN
аномалия - Отклонение от нормы {Отклонение} 	 type:NPN
анонимка - Письмо без подписи {Письмо} 	 type:NPN
антарктика - область земного шара {область} 	 type:NAN
антибиотики - Вещества биологического происхождения {Вещества} 	 type:NAN
антимилитаризм - движение против политики {движение} 	 type:NPN
антимир - космический объект (типа {объект} 	 type:ANN 
антихрист - главный противник Христа {противник} 	 type:ANN 
античастицы - Группа элементарных частиц {Группа} 	 type:NAN
антология - Сборник избранных произведений {Сборник} 	 type:NAN
антрополог - Специалист по антропологии {Специалист} 	 type:NPN
антропометрия - Совокупность приемов антропологического исследования {Совокупность} 	 type:NNAN 
апартеид - Политика насильственного разделения {Политика} 	 type:NAN
апатия - Состояние полного безразличия {Состояние} 	 type:NAN
апелляция - обжалования судебных решений {обжалования} 	 type:NAN
апельсин - плодовое цитрусовое дерево {дерево} 	 type:AAN 
аполог - повествование из жизни {повествование} 	 type:NPN
апоселений - Точка орбиты искусственного спутника {Точка} 	 type:NNAN 
апофегма - остроумное нравоучительное изречение {изречение} 	 type:AAN 
апоцентр - Точка орбиты небесного тела {Точка} 	 type:NNAN 
аппендикс - отросток слепой кишки {отросток} 	 type:NAN
апперцепция - Зависимость восприятия новых предметов {Зависимость} 	 type:NNAN 
апрель - месяц календарного года {месяц} 	 type:NAN
аптека - Учреждение для приготовления {Учреждение} 	 type:NPN
ар - Мера земельной площади {Мера} 	 type:NAN
аранжировка - Переложение музыкального произведения {Переложение} 	 type:NAN
араукария - вечнозеленых хвойных деревьев {деревьев} 	 type:AAN 
арахис - масличное бобовое растение {растение} 	 type:AAN 
арбалет - ручное метательное оружие {оружие} 	 type:AAN 
аргамак - породистых верховых лошадей {лошадей} 	 type:AAN 
арго - язык какой небольшой {язык} 	 type:NNA 
ареометр - Прибор для определения {Прибор} 	 type:NPN
ариозо - ария свободного построения {ария} 	 type:NAN
аритмия - Нарушение нормального ритма {Нарушение} 	 type:NAN
арифмометр - машина для выполнения {машина} 	 type:NPN
арктика - область земного шара {область} 	 type:NAN
арлекин - персонаж итальянской «комедии {персонаж} 	 type:NAN
арматура - Комплект вспомогательных устройств {Комплект} 	 type:NAN
армеец - Военнослужащий в армии {Военнослужащий} 	 type:NPN
армия - Совокупность вооруженных сил {Совокупность} 	 type:NAN
армяк - верхняя распашная одежда {одежда} 	 type:AAN 
артиллерия - орудия различных конструкций {орудия} 	 type:NAN
архангел - ангел высшего чина {ангел} 	 type:NAN
археограф - Специалист по археографии {Специалист} 	 type:NPN
археолог - Специалист по археологии {Специалист} 	 type:NPN
архиерей - чинов духовенства православной церкви {чинов} 	 type:NNAN 
архиерей - высших чинов духовенства {чинов} 	 type:ANN 
архимандрит - Титул настоятеля большого {Титул} 	 type:NNA 
архипастырь - высших чинов духовенства {чинов} 	 type:ANN 
архитектор - Специалист в области {Специалист} 	 type:NPN
асбест - минерал волокнистого строения {минерал} 	 type:NAN
асептика - Меры обеззараживания операционных {Меры} 	 type:NNA 
асессор - судебное должностное лицо {лицо} 	 type:AAN 
аспиратор - Прибор для засасывания {Прибор} 	 type:NPN
ассенизация - Система санитарных мероприятий {Система} 	 type:NAN
ассигнация - бумажных денежных знаков {знаков} 	 type:AAN 
ассортимент - Подбор различных видов {Подбор} 	 type:NAN
астения - Состояние общей слабости {Состояние} 	 type:NAN
астигматизм - Недостаток оптических стекол {Недостаток} 	 type:NAN
астрограф - инструмент для фотографирования {инструмент} 	 type:NPN
астродинамика - Раздел небесной механики {Раздел} 	 type:NAN
астроном - Специалист по астрономии {Специалист} 	 type:NPN
асфальт - буро смолистая масса {масса} 	 type:AAN 
атавизм - Появление у человека {Появление} 	 type:NPN
атла'с - плотной шелковой ткани {ткани} 	 type:AAN 
атлетика - Совокупность гимнастических упражнений {Совокупность} 	 type:NAN
атом - частица химического элемента {частица} 	 type:NAN
атрибут - существенное неотъемлемое свойство {свойство} 	 type:AAN 
атрибут - неотъемлемое свойство предмета {свойство} 	 type:ANN 
аудиенция - прием у лица {прием} 	 type:NPN
ахроматизм - Свойство оптических стекол {Свойство} 	 type:NAN
ацетилен - горючий ядовитый газ {газ} 	 type:AAN 
ацтеки - крупная индейская народность {народность} 	 type:AAN 
ацтеки - индейская народность Мексики {народность} 	 type:ANN 
аэродром - Участок земной поверхности {Участок} 	 type:NAN
аэролог - Специалист по аэрологии {Специалист} 	 type:NPN
аэропорт - трассе воздушной линии {трассе} 	 type:NAN
ба'сма - краски для волос {краски} 	 type:NPN
бабка - определенным образом снопов {образом} 	 type:ANN 
бабуши - Туфли без задников {Туфли} 	 type:NPN
багажник - Приспособление у велосипеда {Приспособление} 	 type:NPN
багет - планка для изготовления {планка} 	 type:NPN
багряница - одежда багряного цвета {одежда} 	 type:NAN
багульник - низкий ядовитый кустарник {кустарник} 	 type:AAN 
бадья - металлическое широкое ведро {ведро} 	 type:AAN 
байбак - грызун из рода {грызун} 	 type:NPN
байка - ворсистая хлопчатобумажная ткань {ткань} 	 type:AAN 
байрам - трехдневных мусульманских праздников {праздников} 	 type:AAN 
бак - сосуд для жидкостей {сосуд} 	 type:NPN
бакалавр - степень современной Франции {степень} 	 type:NAN
баккара - азартной карточной игры {игры} 	 type:AAN 
баклага - сосуд для жидкостей {сосуд} 	 type:NPN
бактериолог - Специалист по бактериологии {Специалист} 	 type:NPN
балабан - инструмент у азербайджанцев {инструмент} 	 type:NPN
балабан - духовой язычковый инструмент {инструмент} 	 type:AAN 
балалайка - щипковый музыкальный инструмент {инструмент} 	 type:AAN 
балахон - одежда свободного покроя {одежда} 	 type:NAN
балахон - крестьянская верхняя одежда {одежда} 	 type:AAN 
балбес - неотесанный молодой человек {человек} 	 type:AAN 
балет - Искусство театрального танца {Искусство} 	 type:NAN
балкон - наружной стене здания {стене} 	 type:ANN 
балласт - груз для обеспечения {груз} 	 type:NPN
балок - легкий передвижной домик {домик} 	 type:AAN 
бальнеолог - Специалист по бальнеологии {Специалист} 	 type:NPN
бальнеология - Раздел медицинской науки {Раздел} 	 type:NAN
балясина - фигурный столбик перил {столбик} 	 type:ANN 
банан - тропическое травянистое растение {растение} 	 type:AAN 
бандаж - повязка для поддержания {повязка} 	 type:NPN
бандероль - обертка для упаковки {обертка} 	 type:NPN
банджо - инструмент американских негров {инструмент} 	 type:NAN
банджо - щипковый музыкальный инструмент {инструмент} 	 type:AAN 
бандура - щипковый музыкальный инструмент {инструмент} 	 type:AAN 
банка - Доска для сидения {Доска} 	 type:NPN
банкет - Насыпь из грунта {Насыпь} 	 type:NPN
банту - Семья языков коренного населения {Семья} 	 type:NNAN 
бар - Единица измерения атмосферного давления {Единица} 	 type:NNAN 
бареттер - прибор для поддержания {прибор} 	 type:NPN
барка - судно без палубы {судно} 	 type:NPN
барка - плоскодонное речное судно {судно} 	 type:AAN 
баркарола - Песня венецианских гондольеров {Песня} 	 type:NAN
барометр - Прибор для измерения {Прибор} 	 type:NPN
баронет - титул в Англии {титул} 	 type:NPN
барчук - малолетний сын барина {сын} 	 type:ANN 
барщина - принудительный труд крестьян {труд} 	 type:ANN 
баскак - Представитель ханской власти {Представитель} 	 type:NAN
басня - стихотворный нравоучительный рассказ {рассказ} 	 type:AAN 
батиплан - камера для изучения {камера} 	 type:NPN
батон - хлеб продолговатой формы {хлеб} 	 type:NAN
бахрома - Тесьма для обшивки {Тесьма} 	 type:NPN
бахчеводство - Разведение бахчевых культур {Разведение} 	 type:NAN
башлык - теплый головной убор {убор} 	 type:AAN 
