аа - отправление естественных потребностей {отправление} 	 type:NAN
абака - Прибор для вычисления {Прибор} 	 type:NPN
аббат - Настоятель католического монастыря {Настоятель} 	 type:NAN
аберрация","аберация - отклонение световых лучей {отклонение} 	 type:NAN
абордаж - Атака неприятельского судна {Атака} 	 type:NAN
абрикос - косточковый сладкий плод {плод} 	 type:AAN 
абрикос - сладкий плод дерева {плод} 	 type:ANN 
абрикосовка - Настойка из абрикосов {Настойка} 	 type:NPN
абсентеизм - Уклонение от посещений {Уклонение} 	 type:NPN
август - месяц календарного года {месяц} 	 type:NAN
автобус - автомобиль общего пользования {автомобиль} 	 type:NAN
автол - масло из нефти {масло} 	 type:NPN
автосани - Автомобиль для движения {Автомобиль} 	 type:NPN
автосмесь - смесь для автомобилей {смесь} 	 type:NPN
аггломерат","агломерат - Соединение различных минералов {Соединение} 	 type:NAN
агентство - отделение центрального учреждения {отделение} 	 type:NAN
агитатор - Член политической партии {Член} 	 type:NAN
агония - слабые вспышки жизни {вспышки} 	 type:ANN 
аграрий - землевладелец (в Зап {землевладелец} 	 type:NPN
агромаксимум - Максимум агрономических мероприятий {Максимум} 	 type:NAN
агроминимум - Минимум агрономических мероприятий {Минимум} 	 type:NAN
адажио - темпе исполнения музыкальных {темпе} 	 type:NNA 
аденоид - разращение глоточной миндалины {разращение} 	 type:NAN
администрация - органы государственного управления {органы} 	 type:NAN
азбест - минерал из к {минерал} 	 type:NPN
азот - Газ без цвета {Газ} 	 type:NPN
азям - верхняя долгополая одежда {одежда} 	 type:AAN 
аист - длинноногая перелетная птица {птица} 	 type:AAN 
академия - учреждение нек высших {учреждение} 	 type:NNA 
академия - научное учреждение нек {учреждение} 	 type:ANN 
акафист - хвалебного церковного песнопения {песнопения} 	 type:AAN 
акр - мера в Англии {мера} 	 type:NPN
алебастр - гипс белого цвета {гипс} 	 type:NAN
алкоголизм - употребление спиртных напитков {употребление} 	 type:NAN
аллах - Бог у магометан {Бог} 	 type:NPN
алоэ - растение из семейства {растение} 	 type:NPN
алтын - русская медная монета {монета} 	 type:AAN 
альбатрос - птица из семейства {птица} 	 type:NPN
альбинизм - ненормальная белизна кожи {белизна} 	 type:ANN 
альтруизм - Стремление к деятельности {Стремление} 	 type:NPN
алюминий - ковкий легкий металл {металл} 	 type:AAN 
амбар - Строение для хранения {Строение} 	 type:NPN
амвон - Возвышение в церкви {Возвышение} 	 type:NPN
американизм - национализм английского языка {национализм} 	 type:NAN
аминь - заключительное слово молитв {слово} 	 type:ANN 
аммониак - камедистой аммиачной смолы {смолы} 	 type:AAN 
аморализм - Отсутствие моральных правил {Отсутствие} 	 type:NAN
амортизатор - Приспособление для амортизации {Приспособление} 	 type:NPN
амплификация - Нагромождение в речи {Нагромождение} 	 type:NPN
амфитеатр - здание для зрелищ {здание} 	 type:NPN
амфора - большой узкогорлый сосуд {сосуд} 	 type:AAN 
анабаптист - Последователь христианской секты {Последователь} 	 type:NAN
анабиоз - Восстановление жизненных отправлений {Восстановление} 	 type:NAN
анафема - Отлучение от церкви {Отлучение} 	 type:NPN
ангар - Сооружение для хранения {Сооружение} 	 type:NPN
анданте - темпе исполнения музыкальных произведений {темпе} 	 type:NNAN 
аневризм","аневризма - расширение кровеносных сосудов {расширение} 	 type:NAN
анемон - Растение из семейства {Растение} 	 type:NPN
анилин - жидкость продукт каменноугольного дегтя {жидкость} 	 type:NNAN 
анилин - желтоватая маслянистая жидкость {жидкость} 	 type:AAN 
анилин - маслянистая жидкость продукт {жидкость} 	 type:ANN 
анис - растение из семейства {растение} 	 type:NPN
аннексия - политическое присоединение страны {присоединение} 	 type:ANN 
аннотация - краткое изложение содержания {изложение} 	 type:ANN 
аномалия - Уклонение от закономерности {Уклонение} 	 type:NPN
анонимка - Письмо без подписи {Письмо} 	 type:NPN
антиминс - Изображение на материи {Изображение} 	 type:NPN
антоновка - яблок зеленовато-желтого цвета {яблок} 	 type:NAN
антропоморфизм - Перенесение человеческих свойств {Перенесение} 	 type:NAN
анфилада - сквозной ряд комнат {ряд} 	 type:ANN 
анчар - Дерево Малайского архипелага {Дерево} 	 type:NAN
анчоус - рыба из породы {рыба} 	 type:NPN
аорист - времени в нек {времени} 	 type:NPN
апогей - Точка лунной орбиты {Точка} 	 type:NAN
апокалипсис - книг Нового завета {книг} 	 type:NAN
аполитизм - Уклонение от участия {Уклонение} 	 type:NPN
аполог - рассказ из жизни {рассказ} 	 type:NPN
апофеоз - обряд воздавания божеских почестей {обряд} 	 type:NNAN 
аппендикс","апендикс - отросток слепой кишки {отросток} 	 type:NAN
апрель - месяц календарного года {месяц} 	 type:NAN
аптека - Заведение для изготовления {Заведение} 	 type:NPN
арак - напиток из риса {напиток} 	 type:NPN
аракчеевщина - Система жестокой военщины {Система} 	 type:NAN
арапник - кнут для собак {кнут} 	 type:NPN
