абажур - Колпак для лампы {Колпак} 	 type:NPN
аберрация - Отклонение от чего {Отклонение} 	 type:NPN
абитуриент - Выпускник средней школы {Выпускник} 	 type:NAN
абракадабра - непонятный набор слов {набор} 	 type:ANN 
абрикос - Южное фруктовое дерево {дерево} 	 type:AAN 
абсолют - вечная неизменная первооснова {первооснова} 	 type:AAN 
авангардизм - Стремление ка общественной группы {Стремление} 	 type:NNAN 
аварийщик - Работник аварийной службы {Работник} 	 type:NAN
август - месяц календарного года {месяц} 	 type:NAN
авиасалон - Выставка новейших образцов {Выставка} 	 type:NAN
австралийцы - коренного населения Австралии {населения} 	 type:ANN 
австралийцы - современного населения Австралии {населения} 	 type:ANN 
автобус - автомобиль для перевозки {автомобиль} 	 type:NPN
автоклав - Аппарат для нагревания {Аппарат} 	 type:NPN
автомат - автоматическое стрелковое оружие {оружие} 	 type:AAN 
автономия - Право самостоятельного осуществления {Право} 	 type:NAN
автопогрузчик - машина для погрузки {машина} 	 type:NPN
авторучка - Ручка для письма {Ручка} 	 type:NPN
автосалон - Выставка новейших образцов {Выставка} 	 type:NAN
агрессия - точки зрения международного права {точки} 	 type:NNAN 
агроном - Специалист по агрономии {Специалист} 	 type:NPN
агротехника - Технология возделывания сельскохозяйственных культур {Технология} 	 type:NNAN 
агрохимик - Специалист по агрохимии {Специалист} 	 type:NPN
администрация - Органы управления исполнительной власти {Органы} 	 type:NNAN 
адъюнкт - должность в нек {должность} 	 type:NPN
адъюнкт - младшая ученая должность {должность} 	 type:AAN 
адъютант - Офицер (в нек {Офицер} 	 type:NPN
азбука - простейшие начала какой {начала} 	 type:ANN 
акафист - хвалебного церков ного {церков} 	 type:ANN 
акваланг - Аппарат для дыхания {Аппарат} 	 type:NPN
акватория - Поверхность водного пространства {Поверхность} 	 type:NAN
аккумулятор - Устройство для накопления {Устройство} 	 type:NPN
акр - мера в нек {мера} 	 type:NPN
аксельбанты - ант воинской формы {ант} 	 type:NAN
алжирцы - Основное население Алжира {население} 	 type:ANN 
алмаз - Инструмент для резки {Инструмент} 	 type:NPN
алхимия - направление в химии {направление} 	 type:NPN
альбатрос - Большая океаническая птица {птица} 	 type:AAN 
альбатрос - океаническая птица отряда {птица} 	 type:ANN 
альбом - названием музыкальных произведений {названием} 	 type:NAN
альманах - сборник произведений разных писателей {сборник} 	 type:NNAN 
альманах - литературный сборник произведений {сборник} 	 type:ANN 
альпиниада - юбилейные сборы альпинистов {сборы} 	 type:ANN 
альт - голос (у мальчика {голос} 	 type:NPN
альт - духовой оркестровый инструмент {инструмент} 	 type:AAN 
альфа - буквы греческого алфавита {буквы} 	 type:NAN
амальгама - твердый сплав ртути {сплав} 	 type:ANN 
амбар - Строение для хранения {Строение} 	 type:NPN
амвон - площадка в церкви {площадка} 	 type:NPN
американцы - Население американского континента {Население} 	 type:NAN
амортизатор - Приспособление для амортизации {Приспособление} 	 type:NPN
амперметр - Прибор для измерения {Прибор} 	 type:NPN
амплуа - актерских ролей Л {ролей} 	 type:ANN 
ампула - сосуд для хранения {сосуд} 	 type:NPN
амфибия - Самолет для взлета {Самолет} 	 type:NPN
амфитеатр - сооружение для зрелищ {сооружение} 	 type:NPN
амёба - Простейшее одноклеточное животное {животное} 	 type:AAN 
аналогия - Сходство в каком {Сходство} 	 type:NPN
анамнез - Совокупность медицинских сведений {Совокупность} 	 type:NAN
анахронизм - Нарушение хронологической точности {Нарушение} 	 type:NAN
ангар - помещение для стоянки {помещение} 	 type:NPN
ангел - сочет с мест {сочет} 	 type:NPN
анис - травянистое зонтичное растение {растение} 	 type:AAN 
анкета - лист для получения {лист} 	 type:NPN
анналы - Летопись (у нек {Летопись} 	 type:NPN
аномалия - Отклонение от нормы {Отклонение} 	 type:NPN
антарктика - область земного шара {область} 	 type:NAN
антарктика - Южная полярная область {область} 	 type:AAN 
антисептика - Обеззараживание ран воспаленных тканей {Обеззараживание} 	 type:NNAN 
антракт - произведение для исполнения {произведение} 	 type:NPN
антрацит - уголь высшего качества {уголь} 	 type:NAN
антрепренёр - Частный театральный предприниматель {предприниматель} 	 type:AAN 
антрополог - Специалист по антропологии {Специалист} 	 type:NPN
анфилада - сквозной ряд комнат {ряд} 	 type:ANN 
апатия - Состояние полного безразличия {Состояние} 	 type:NAN
апофеоз - сцена нек театральных представлений {сцена} 	 type:NNAN 
апофеоз - заключительная массовая сцена {сцена} 	 type:AAN 
апофеоз - массовая сцена нек {сцена} 	 type:ANN 
аппарат - Совокупность учреждений обслуживающих какую {Совокупность} 	 type:NNAN 
аппендикс - отросток слепой кишки {отросток} 	 type:NAN
апрель - месяц календарного года {месяц} 	 type:NAN
арахис - Южное травянистое растение {растение} 	 type:AAN 
арбалет - ручное метательное оружие {оружие} 	 type:AAN 
арбитраж - Разрешение спорных вопросов {Разрешение} 	 type:NAN
аргумент - независимая переменная величина {величина} 	 type:AAN 
ареометр - Прибор для определения {Прибор} 	 type:NPN
аристократия - родовитый слой дворянства {слой} 	 type:ANN 
аритмия - Нарушение сердечного ритма {Нарушение} 	 type:NAN
арифмометр - ручной вычислительный прибор {прибор} 	 type:AAN 
